date,excess_log_return,log_Mkt-RF,baspread,log_Mkt-RF^2,rev2,rev3,mom1m,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,chatoia,lgr,agr,chtx,pchdepr,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,roaq,roeq,chsaleq,sue,RF,size,aeavol,stdacc,salerec,tang,chnanalyst,first_lag_excess_return
2019-07-31,-6.264054377135279,10.815320729394951,118.7367684753152,0.72339524883897,101.82692100406436,-118.7801457286599,42.05629029598856,48.79651778639459,-158.0935091356108,85.36452653826542,24.048296416559285,-52.435596068081495,109.95279269732444,237.77116767830637,0.0,-527.1629971204403,-70.97903022931958,37.51170729175424,-3157.9766374853166,231.45289991000007,-7.64020468262812,3.979425615708256,-17.60366500175517,-0.1877581825270426,-5.179474254346083,-41.56928288401241,2062.4874455600784,-1.790912983427404,1421.0689663317462,6.89592796355555,-498.0275645541468,25.296832293733846
2019-08-30,-15.514997989430462,1.931554241608285,100.63313399181696,0.0228032476461496,-285.2027572968014,100.91573795391898,71.35579605889136,-25.54177898927275,150.7057361792383,-161.7136222425188,87.31925094836811,-39.19654832127266,28.83652106796556,198.7859850801356,0.0,-240.7394817838588,-49.48424119821813,-118.1670408149608,-3295.0291408669327,286.80137578474125,-9.190965042578782,-1.2223823852655105,27.741469228874053,0.1421764899478129,1.980880411138095,50.43930206743926,48.34334387203489,2.200315682878326,-8.290985724846905,29.18401792973532,-1189.070114294066,-6.264054377135279
2019-09-30,5.947774330715304,-4.258973111228375,102.74028376113866,0.1111491112528472,340.85015303954447,-281.7774127279699,-238.8469996024289,45.66331875861681,26.45954697415434,149.90939721579053,-160.85911688939254,103.2845842718874,137.6037579408372,50.45071879560554,0.0,14.361523240089245,-582.6564087959592,-90.23058233248037,384.5918377367044,270.98432807982294,2.128630397523325,16.448698863226383,325.8904219870202,0.3104491444327198,-4.975403442153684,-11.905885907910488,-2854.456976847426,-1.7663127958226248,-1089.2400215228122,-21.08257490827464,560.0150273164065,-15.514997989430462
2019-10-31,-1.7559399104135691,2.2981529810263672,123.6943970404014,0.0325688943451287,-76.18782036766136,334.38906255864055,142.39129875601768,18.74031923008428,-57.73768496911424,26.118490023128658,147.97710253234578,102.82920953646686,132.65595793591172,49.63145560515529,-65.79610017026775,13.14663017323025,-571.7563886317351,-83.06124210325574,377.0300874208444,252.68298443749023,3.158508289465836,19.31407657844236,323.5042225087491,0.3151404128799482,3.078530486599892,-28.88930605875703,-30.24653403292677,-0.6902171309687866,-67.33541791461903,-14.587159174494444,-72.30349245633533,5.947774330715304
2019-11-29,6.288253509941504,3.3100278852802703,82.00074129537151,0.0673899644338205,-204.38393068462136,-76.27492227244828,-221.28806505431368,-25.989985739479053,31.518715232873134,-58.04242145643951,26.25634205006992,87.19625720679458,73.12430016936935,30.78057386978187,5216.7183434764265,32.79298279883416,-857.9159499745407,-85.2273740179674,437.0369413960232,-96.19591449114772,5.238839118132096,2.02553693668104,213.34795777171644,0.0091255912764269,-4.802493481791156,11.67678707368259,317.66981439368146,-0.2563723862334548,266.1273277633459,10.740236644696324,66.39436754626206,-1.7559399104135691
2019-12-31,-0.121772277631019,6.162960894584853,182.27144332428225,0.233727547462345,86.82329681725324,-199.2924460125021,-38.11573724741933,-3.954777666778141,45.22131665147956,31.477751944222224,-57.96698664107501,44.45003830500309,99.65001691025638,22.852032583564466,4387.3704360612965,10.154112030321652,28.50906257243257,78.04772102586384,327.5947579439721,189.17709668459668,4.755198982269661,1.9029484983712024,119.11455327773515,-0.08338249831718,-4.88635531055105,-2.890485102998809,450.7574085490837,-6.586383967782094,-86.67441263043065,8.755491055299672,174.79849253380968,6.288253509941504
2020-01-31,-14.172614703952474,4.446667692989247,109.20449380738916,0.1213256998998836,-23.62181935741968,87.63719039579107,173.95205500620557,-4.106521801114355,84.77762393165527,45.51183278611703,31.67997504383676,44.81984852344726,98.31094032619986,23.134421561308887,4439.579066990185,8.56307167880098,29.717433907581963,79.24086960204161,329.8198830844846,191.0499875160064,4.904093212101725,1.8505937354244324,119.94562238937736,-0.0792858152693781,3.3155679635420547,14.269431878364683,32.9714632112732,-0.5616386147995804,-2.031091359227048,6.58782192974445,-40.12105330876221,-0.121772277631019
2020-02-28,-37.1617730261596,-0.1791412931915594,92.5534793686502,0.0001970590048589,100.46988339985516,-24.082584542673445,-104.70307275034328,-55.42815462228249,60.946295681748346,84.71292432364243,45.4770995911459,44.6948032574303,96.30588247860813,22.94569602409541,4490.13910190644,6.854527173331249,30.831671052845977,81.28691003684969,331.25893401267405,191.65738020897217,4.82711668782523,1.1431303715769037,119.39551838802215,-0.0791925289217652,-1.645407614826894,-1.7060083777346335,4.200752457029466,-0.6307568109697392,-18.326511479041983,-1.5605074811269333,444.2142132172538,-14.172614703952474
2020-03-31,-36.30502481123653,-13.706132827996097,277.3892836354794,1.160776644943868,12.20856085995286,98.5822384522888,-581.7117246393702,-68.37808332706477,-2.4265743939252307,60.18817297190935,83.65916394283131,-4.477121602736778,-63.1984483296576,-48.86504662331324,2065.121610900181,-0.0885203989209557,-165.99595569835003,128.1254057314037,-38.911257297622896,-69.33628699858967,-14.984473919214793,-42.64690196355891,-67.7071928091427,-0.3748459502116638,-1.7502671885455747,-27.785702154975752,630.0640925054317,0.4719214658680073,-228.4335507859032,-20.969441540437856,-660.2837690038309,-37.1617730261596
2020-04-30,14.346244592497706,-22.825063847921214,178.2932442656061,3.2743706203399583,-184.24973578556848,11.07714038321397,-1136.430756465997,82.16606335778428,-180.67453563806123,-2.3467336586649363,58.207822401953145,-3.917425189617138,167.0838652443881,87.56396482034641,-23014.20715827693,25.90489408592893,-15.84271953346211,102.38780346084424,-139.93208445669416,46671.31608935628,-8.281014023224767,-23.050183016141585,-50.07853111455324,-0.3519354959341675,-0.3274492071534851,-72.58116711861294,99.48411852340588,-1.1851796420605627,-159.4883593647146,-67.28581708754518,-156.73225090591882,-36.30502481123653
2020-05-29,9.217124045728417,20.02185877277936,127.77639322101548,2.5618641897260312,-458.59763671094674,-177.2725882380157,-913.7366822740892,-69.30008511956125,-295.8157971154975,-174.63820291234447,-2.268329332718763,-32.5340588723337,145.70959273245697,53.79397655412657,-21502.214147326544,-2.80455816389275,-84.49859983383705,2.2718578585691205,-109.56111394134956,44056.78194206771,-15.156863589716371,-43.98455228214038,-133.9596442761142,-0.0340940808526501,-19.09314247173116,-71.27536420811884,-897.9892119527321,0.3181465908386123,-224.81737241695737,-30.99662165373797,-941.424640985602,14.346244592497706
2020-06-30,6.958240518660396,8.550517580832416,191.7101714832683,0.4642373880158784,-474.2103209135483,-472.4550705441792,-618.4038541040027,8.870637300452557,267.34038282436654,-299.72894847300546,-176.94837609262387,-31.223154618698672,71.26154251020282,14.83670471953132,3090.987813444301,-41.97956973982284,2.8146957089854183,-211.95274260378727,71.83942859740225,-124.71615360238296,-18.833476974286715,-58.25466790970175,-91.11932748327088,0.113122732694681,1.5748699434269098,27.27789243736379,-1620.8033581061236,0.3039275611554775,-247.21715436675368,39.20268924909681,548.8724833715282,9.217124045728417
2020-07-31,-10.880296666192026,3.8440058141135927,108.46498648596014,0.0934089062319688,202.26184663931983,-478.11973240329087,-53.50823915777565,28.73286942707968,114.47990223612204,269.7945978714515,-302.48049422759,-30.9604371358827,74.20934122159716,16.467651299245716,3056.9985892899435,-40.84935791454587,-183.1987442129355,-213.17118834539997,71.30043245924122,-123.25661315335078,-18.99120757556565,-58.53019748974546,-90.40976738713732,0.115283470135212,0.0070328209886711,19.180543319909248,25.764949478382505,0.2533528964004894,26.20592877861964,10.206860092617603,562.5387014980568,6.958240518660396
2020-08-31,24.217983076418097,8.903192880265362,108.37831667486478,0.4993914816225581,131.7186972057427,202.8100257315234,278.5283043633128,18.01509686182893,51.57302714244069,115.23013813082468,271.5626775742325,36.79545519997843,168.84781573407008,19.773620036961407,2125.670159085509,225.49892071264725,-57.03949899026685,-58.87794512352192,215.67654349710813,12.15814343443919,-22.34088719849209,-58.90245448084207,84.65238815356318,-0.3915561553754123,0.0053658691154483,13.818157203674218,5.959947202022249,123.98673822890468,-245.79144287470808,5.27723840048975,821.9238430663848,-10.880296666192026
2020-09-30,-11.224365861975148,11.615960186477134,99.5558534686753,0.8540302495616384,92.00700155773356,131.1599878387783,386.48621422469023,-20.17933599303406,117.90717209856018,51.079792715893966,114.12809944411192,50.52797675259608,-46.41120254406251,-66.17354420851129,3267.5925541509405,-20.081696770289856,1919.594370543544,2084.4068313079542,2328.380364215107,1348.0992247159195,-9.196146242680054,-25.052239131865825,2122.403505028026,-0.0074355282586772,-0.0073417969455842,-20.297807562997605,902.299804465764,2.295592998922672,294.4188517076159,-32.07211738739238,-1355.3078129192054,24.217983076418097
2020-10-30,13.747094317426624,-5.913120193655108,83.53566724169364,0.2186167740866033,-147.19355236639987,93.67721712253356,118.23589742886912,-26.57412684262323,158.18785390912126,120.68417984601662,52.28284913380154,37.6608481602942,-49.88006598128495,-48.98802333680332,-88.67666573737057,-8.939683669866183,2304.84723659591,2293.0193917157417,1772.2623553247065,1600.865500269184,-0.0399442809249248,2.7242028600471477,2366.221822962816,-0.0199752160123279,0.0194467965996849,49.50872514938601,207.3936109941401,19.641907191170503,64.43173887969897,25.57484266500865,-291.2347575738074,-11.224365861975148
2020-11-30,35.13187309006719,-3.3761772524112548,127.65938272835665,0.0716475341576812,323.612941760936,-146.17723809671824,211.34945423923529,34.38619255004953,-78.69823531204825,156.50072655348373,119.39704195154924,1.0911595391118638,-30.41312853389374,-39.72363407627104,-4943.37365567756,84.05139554485623,2079.747975051399,1993.1788590946185,2257.14306886508,1443.1987601134078,19.86646198193321,75.6539858707215,2190.655312738861,-0.2375806318542987,-0.0084503762016894,-22.94720146348618,304.2668863062563,-4.254018237571728,-273.92314868664835,16.291404226990267,394.97706244407664,13.747094317426624
2020-12-31,14.485833174471145,18.813557560966053,106.08013473831969,2.210691635479398,-155.92924436427626,327.3282529411366,823.9416005234782,-32.55744361805069,-45.76300723888273,-79.72698146270334,158.54650965622082,5.439081337016649,-27.230943870731316,12.34008091636882,-4547.273989758955,120.97073444386352,39.39801472378885,-208.27976007949724,-43.59933289736582,70.78990297538269,22.128457248903416,72.85343733401854,-75.51213378148877,0.0116573754454045,0.0101591482658391,27.82540206715112,-98.01662770280744,3.778288318596708,-264.3292252321344,14.908985369134712,861.7097147124946,35.13187309006719
